,Compound,myY,Fit,AbsResidual
134767,Cs1F3Mg1,0.0,5.963589586019516,5.963589586019516
74425,B8H32Na2Yb2,6.1323,0.22888157069683074,5.903418429303169
156086,F3K1Mg1,0.21090000000000003,5.843356989622116,5.632456989622116
156330,F6Li2Nb1,1.1914999999999998,6.6449784767627715,5.453478476762772
232211,O8Si4,0.0,5.174530580043792,5.174530580043792
115314,C3Li3Na3O9,0.0,5.017849040627479,5.017849040627479
220427,Na8O24P6Sc4,0.0,4.999719606637955,4.999719606637955
231826,O16Si8,0.0,4.9690846592187885,4.9690846592187885
231925,O32Si16,0.2976,5.162882869243622,4.865282869243622
232214,O8Si4,0.3239,5.174530580043792,4.850630580043792
213229,Mn2Na4O16S4,0.0,4.767449551224709,4.767449551224709
205764,Li8O14P4,0.0,4.736826106905937,4.736826106905937
156546,F12Na4Nb2,1.0604,5.797031265497208,4.736631265497207
103398,C3Ce1O13P1Sr3,0.0,4.609797369241715,4.609797369241715
126077,C1O1S1,4.824,0.21899109542369843,4.605008904576302
185493,H4O8S2,0.5483,5.124915516972542,4.5766155169725415
156380,F32Li16Tb4,0.0,4.5509365522861485,4.5509365522861485
196424,K4O8S2,0.0,4.535088018774986,4.535088018774986
61070,B4C16Co2H8N16O4,0.0,4.473590800762176,4.473590800762176
15363,Al2Cd2Cl8,0.0,4.458595139980316,4.458595139980316
5339,Ag1F30O6S16Sb1Te6,0.9464,5.3515052318573,4.4051052318573
58887,B6Ba2Co1O12,0.0,4.2661241686344145,4.2661241686344145
74309,B4H16K4,1.4006,5.6214052152633665,4.220805215263367
184514,H12K6O12Sc2,0.0,4.185433205962181,4.185433205962181
34615,As2H26K4O20,0.0,4.161600973010064,4.161600973010064
3550,Ag2Cd6F40Zr6,0.0,4.160573910474778,4.160573910474778
184871,H6Na2O12Se4,0.0,4.057237725257874,4.057237725257874
175467,Hf4La4O14,0.0,3.9695002919435503,3.9695002919435503
185029,H48N24O24S12,0.061,4.022152173519134,3.9611521735191344
219826,N4,0.0,3.9255600917339324,3.9255600917339324
106524,Cd2H12O32S8,1.4213,5.3436738115549085,3.9223738115549085
76673,Bi1F3,3.9499,0.09880779802799225,3.8510922019720075
76672,Bi1F3,3.9498,0.09880779802799225,3.8509922019720078
250153,Xe2,6.1887,2.3455473548173904,3.8431526451826095
117438,Cl1O3Tl1,4.3266,0.49967112720012663,3.8269288727998734
231828,O16Si8,1.1866,4.9690846592187885,3.782484659218788
156639,F3Na1Zn1,0.099,3.8352804732322694,3.736280473232269
124624,Co6O16P4,0.0,3.7188006263971327,3.7188006263971327
134843,Cs1F3Sr1,1.2266,4.936637699604034,3.7100376996040345
17693,Al6Cu1H16O28P4,0.0,3.635635949373245,3.635635949373245
134793,Cs1F6Nb1,5.6785,2.0641886401176452,3.6143113598823544
37166,As8O12,0.0,3.600661046504974,3.600661046504974
146498,Er2K2O24P8,2.588,6.178975828886032,3.590975828886032
134799,Cs6F14Ni2,0.7381,4.328759098052979,3.5906590980529787
112407,C2H4Nd2O12P4,0.0,3.5891338443756102,3.5891338443756102
121803,Co1H8K2O16P4,0.0,3.5577511954307557,3.5577511954307557
165545,Gd2O4,0.0,3.5537431865930555,3.5537431865930555
112880,Cl4Co2O12Se4Sr4,0.0,3.525846524834633,3.525846524834633
112044,C12F12H24N12O8S4,2.1959999999999997,5.7193995797634125,3.523399579763413
184393,H16I2N8P2,1.0341,4.541037312746048,3.506937312746048
19250,Al1F5Fe1,3.9355,0.43389694690704345,3.501603053092957
226350,Nd4O14Zr4,0.0,3.4993532413244246,3.4993532413244246
235006,P8,3.4907,0.006628524661064148,3.484071475338936
15025,Al12Ca10O28,4.2198,0.813437910079956,3.4063620899200444
184447,H36K4Na4Re4,5.4007,2.0086724865436554,3.3920275134563442
184537,H27K6Re3,5.2284,1.8475600624084474,3.3808399375915523
116115,Cl4Li4P16,3.6752,0.298194871544838,3.3770051284551617
184536,H27K6Re3,5.2155,1.8475600624084474,3.367939937591552
111915,C12Fe2H8N12,4.5111,1.143548955321312,3.367551044678688
157183,F12Sb2Te4,1.1615,4.518030564188957,3.356530564188957
62600,B4Cu1Li6O10,0.0,3.3543216037750243,3.3543216037750243
184925,H48Ni4O40S4,4.5727,1.300137922167778,3.272562077832222
184801,H8Mn1O16P4Tl2,0.0,3.250102966427803,3.250102966427803
231893,O24Si12,1.2611,4.510794566273689,3.249694566273689
21041,Al2H8Na2,1.8804,5.116491413116455,3.236091413116455
223644,Nb4O24P6,0.0,3.2131079000234606,3.2131079000234606
24670,Al1Nd1O3,0.0,3.21301697075367,3.21301697075367
157321,F6Ti1Tl3,0.0,3.209438410997391,3.209438410997391
61979,B14Co6I2O26,0.0,3.203605243563652,3.203605243563652
61978,B14Co6I2O26,0.0,3.203605243563652,3.203605243563652
21136,Al2H4O9Si2,1.6856,4.830381917953491,3.144781917953491
103715,C24Cs8Fe4N24Ni4,3.6382,0.4990264058113098,3.1391735941886902
184899,H24Na12Rh4,3.2689,0.1483713710308075,3.1205286289691925
115926,Cl4La4O16S4,1.5566,4.625175371170044,3.0685753711700436
52929,Ba2H16I4O24,0.7629,3.8285856688022615,3.0656856688022613
157138,F3Rb1Zn1,5.0278,1.9830523431301117,3.0447476568698884
233358,O3Sr1Zr1,0.0,3.0447145611047746,3.0447145611047746
233357,O3Sr1Zr1,0.0,3.0447145611047746,3.0447145611047746
91659,Br2O2Pr2,3.7752,0.7338884931802749,3.041311506819725
103202,C2Ca2H12N4O20Re4,3.4737,0.4352543127536774,3.038445687246323
112366,C4H8Mn8O28P4,0.0,3.0257360887527467,3.0257360887527467
73507,B2Gd2O6,2.4130000000000003,5.434881346821785,3.021881346821785
199677,La4Lu4O12,4.8726,1.8572325265407563,3.0153674734592437
121823,Co1H10O16P4,0.0,3.0069334495067594,3.0069334495067594
5318,Ag1F3Mg1,3.4314,0.42608086407184603,3.005319135928154
226640,Ni4O14P4,0.8271,3.828951576948166,3.001851576948166
90144,Br1K1O3,3.8442,0.8493051248788833,2.9948948751211164
113010,Cl8Cr2F2H30N10Zn2,0.0,2.987762711048126,2.987762711048126
97545,Ca2H6Ru1,3.054,0.0770346200466156,2.976965379953384
118586,C1N2,0.1186,3.0910589092969896,2.9724589092969897
16376,Al4Cl16Ti2,0.0,2.9714792507886885,2.9714792507886885
90143,Br1K1O3,3.8134,0.8493051248788833,2.9640948751211167
77169,Bi2F2O2,3.1349,0.17332050025463105,2.961579499745369
134797,Cs2F6Ni2,4.7675,1.8160519748926163,2.951448025107384
103542,C2Cl2N2,5.7867,2.8493891775608065,2.9373108224391933
185070,H12N16Pd2,0.1317,3.062938210964203,2.931238210964203
112094,C2F2La2N4,0.0,2.9271413719654085,2.9271413719654085
24080,Al1Na1O2,4.7277,1.800721628665924,2.9269783713340756
116695,Cl56Mo24Pb4,2.8981,0.0,2.8981
156142,F8K2Na2O4W2,2.483,5.37450595498085,2.89150595498085
111510,Ce6N22Si12,0.0,2.889653863310814,2.889653863310814
3725,Ag6C12Fe2H12N16,0.0,2.8833145594596865,2.8833145594596865
206134,Li1O2V1,2.9182,0.03839132368564606,2.879808676314354
184781,H10Mn1N4O8S2,0.0,2.8670869714021685,2.8670869714021685
156622,F12Na4Sn2,4.9646,2.1144741696119307,2.850125830388069
87118,Br1Cl1K2,4.3168,1.4745380705595017,2.842261929440498
90334,Br1K1Zn1,2.8313,0.002332390546798706,2.8289676094532012
122263,Co1K2O6Se2,0.0,2.8288753151893617,2.8288753151893617
103519,C16Cl12H48O10S8Tc4,0.2367,3.0550070971250536,2.8183070971250537
25823,Al2O8W2,1.4397,4.252237735390663,2.812537735390663
93712,C8,4.5299,1.7259607881307601,2.8039392118692392
124620,Co4O16P4,1.3666,4.169910045862198,2.8033100458621982
204815,Li2Mo2O8Rb2,0.8309,3.6285730457305907,2.7976730457305905
148817,Fe1H6Sr2,3.0278,0.23099266350269318,2.7968073364973067
124621,Co4O16P4,1.377,4.169910045862198,2.7929100458621985
33276,As2F12I4,0.0,2.788336746096611,2.788336746096611
196589,K1O5S2Ti2Y2,0.0,2.7610004496574403,2.7610004496574403
184979,H20N8O12P4,2.1456,4.8971656322479244,2.7515656322479245
220839,Na1O2V1,2.7990999999999997,0.05567500591278076,2.743424994087219
138030,Cu1H8O16P4Rb2,0.0,2.7344578671455384,2.7344578671455384
138046,Cu2H20O18S2,4.4309,1.6969631153345108,2.7339368846654892
232310,O96Si48,1.9992,4.732098332643509,2.732898332643509
128582,Cr1F6Rb2,0.0,2.7238969254493712,2.7238969254493712
103349,C4Cd1H20N2O12S4,4.912300000000001,2.2050112384557723,2.7072887615442287
206089,Li8O6Tb1,0.0,2.6944615870714186,2.6944615870714186
220838,Na1O2V1,2.7339,0.05567500591278076,2.6782249940872194
52386,Ba1Hf1O3,3.5325,0.8548857718706131,2.677614228129387
185539,H2O18S4Tl6,1.2515,3.924261336922646,2.6727613369226457
61413,B2C6K4N6,2.4530999999999996,5.113127030134201,2.6600270301342017
111611,Ce2O8V2,0.0,2.6555602926015855,2.6555602926015855
15929,Al4Cl16Co2,0.32359999999999994,2.97796371281147,2.6543637128114703
155665,F3Ge1Li1,3.2162000000000006,0.5859920358657837,2.630207964134217
4195,Ag1C1N1,4.1752,1.5474890899658202,2.62771091003418
5404,Ag1F3Zn1,2.9929000000000006,0.3701210194826126,2.622778980517388
5405,Ag1F3Zn1,2.9929000000000006,0.3701210194826126,2.622778980517388
124558,Co4N24O48Tl10Y2,0.0,2.6197511410713195,2.6197511410713195
84315,B4N4,5.7544,3.1451941430568695,2.609205856943131
246941,Se4Ti4,2.6057999999999995,0.00011064887046813965,2.605689351129531
122248,Co4K10N24O48Y2,0.0,2.6025211399793626,2.6025211399793626
117313,Cl1O3Rb1,0.1313,2.72887338578701,2.59757338578701
49212,Ba3Cl2O5Tl2,0.0,2.590987912416458,2.590987912416458
155905,F10H8Mn2O4V2,0.0,2.5900501358509063,2.5900501358509063
220837,Na1O2V1,2.6379000000000006,0.05567500591278076,2.5822249940872197
184365,H6I2Li2N2,0.8001,3.380170165896416,2.580070165896416
234025,O18Te3Tl6,0.0,2.569874793291092,2.569874793291092
113472,Cl8Cu2O24Pb10Se8,0.0,2.5633563697338104,2.5633563697338104
119839,Co1F6H12O6Sn1,0.0,2.5551146721839904,2.5551146721839904
232215,O8Si4,2.6286,5.174530580043792,2.5459305800437924
61518,B26C4Li2,2.5448,0.0,2.5448
148764,Fe1H6Mg2,3.2485,0.703925107717514,2.544574892282486
246936,Se2Ti2,2.5416,0.000810694694519043,2.5407893053054806
196278,K1N1O3,2.9809,0.4401266974210739,2.540773302578926
155884,F14H2K4Ti2,5.2318,2.691541442871094,2.540258557128906
156624,F3Na1Sn1,2.9139,0.380472714304924,2.533427285695076
155558,F3Ga1Ni1,3.0463,0.5147993475198746,2.5315006524801253
155557,F3Ga1Ni1,3.0462,0.5147993475198746,2.531400652480125
66422,Be1F3Tl1,0.0,2.5309378939867018,2.5309378939867018
111919,C12Fe2H16N12O8Tb2,0.0,2.5262572276592254,2.5262572276592254
112621,C20H12O20P4W4,2.9672,0.44765739381313324,2.519542606186867
135028,Cs8I24Sn4,0.1169,2.627000285387039,2.510100285387039
129787,Cr2H12O12Rb6,0.3238,2.830907529592514,2.5071075295925143
156349,F12Li4Pd2,0.0,2.494810490012169,2.494810490012169
