,Compound,myY,Fit,AbsResidual
174141,He1,18.2441,2.2086352628469466,16.035464737153053
226517,Ne1,11.6443,3.9560016775131226,7.688298322486877
112374,C1H1N1,6.7815,0.11281035780906677,6.668689642190934
73892,B5H9,5.8019,0.003587324023246765,5.798312675976753
156380,F32Li16Tb4,0.0,5.761039707660675,5.761039707660675
103740,C6Cs2Ir1Li1N6,5.662999999999999,0.03085295855998993,5.632147041440009
74425,B8H32Na2Yb2,6.1323,0.9497348600625992,5.182565139937401
250153,Xe2,6.1887,1.1196926206350326,5.069007379364967
50812,Ba4F8,5.3403,0.27572767317295077,5.064572326827049
103805,C16Cu4H4N24O2,0.0,4.932908504009247,4.932908504009247
220427,Na8O24P6Sc4,0.0,4.890141072273255,4.890141072273255
128530,Cr2F12H24N6O6,0.0,4.888900380730629,4.888900380730629
175467,Hf4La4O14,0.0,4.638557311296463,4.638557311296463
84314,B4N4,5.1279,0.594395324587822,4.533504675412178
34615,As2H26K4O20,0.0,4.5249165391921995,4.5249165391921995
205765,Li8O14P4,5.6214,1.1207476192712784,4.500652380728722
112407,C2H4Nd2O12P4,0.0,4.493324643373489,4.493324643373489
58887,B6Ba2Co1O12,0.0,4.462816777825355,4.462816777825355
196424,K4O8S2,0.0,4.456533893942833,4.456533893942833
74309,B4H16K4,1.4006,5.79338697373867,4.39278697373867
61070,B4C16Co2H8N16O4,0.0,4.281235408186912,4.281235408186912
55875,Ba9O24P6,5.1457,0.8828366625308991,4.262863337469101
184514,H12K6O12Sc2,0.0,4.250676052570343,4.250676052570343
17550,Al2Cs2O9P2,4.9061,0.711277232170105,4.194822767829895
17693,Al6Cu1H16O28P4,0.0,4.184228119254112,4.184228119254112
232214,O8Si4,0.3239,4.459917448759079,4.136017448759079
61979,B14Co6I2O26,0.0,4.135159179568291,4.135159179568291
61978,B14Co6I2O26,0.0,4.135133982300759,4.135133982300759
90580,Br1Li3O1,4.2806,0.22913354337215425,4.051466456627845
15363,Al2Cd2Cl8,0.0,4.0350531744956974,4.0350531744956974
103519,C16Cl12H48O10S8Tc4,0.2367,4.252392753362655,4.015692753362655
103470,C6Cl10H28N2,5.7165,1.7362538719177247,3.980246128082275
146962,Eu8I12O2,2.9496,6.9163015580177305,3.9667015580177303
119877,Co6F18Rb6,4.0903,0.1538873815536499,3.93641261844635
185493,H4O8S2,0.5483,4.4617311042547225,3.9134311042547223
59507,B3Be6Cs3F6O9,5.9186000000000005,2.015446717143059,3.9031532828569415
65906,Be6F12,8.0374,4.199368938207626,3.838031061792374
121811,Co2H48Ni2O40S4,4.0822,0.26027736604213714,3.821922633957863
93656,C2,4.1154,0.37858401477336884,3.7368159852266314
25440,Al6O24P6,5.6569,1.9528714942932128,3.7040285057067877
116115,Cl4Li4P16,3.6752,1.0955333709716796e-06,3.6751989044666287
184537,H27K6Re3,5.2284,1.5663727986812592,3.6620272013187405
184536,H27K6Re3,5.2155,1.5664122378826142,3.6490877621173854
232211,O8Si4,0.0,3.631946740746498,3.631946740746498
165545,Gd2O4,0.0,3.6191629618406296,3.6191629618406296
23796,Al8Mo12O48,3.6216,0.012083733081817627,3.6095162669181824
184494,H8K4O16P4,5.3602,1.7511202597618103,3.6090797402381893
158515,Ga4H16Li4,4.4633,0.8547564989328384,3.608543501067162
3727,Ag3C6Fe1N6,0.0,3.6037334698438643,3.6037334698438643
115310,Cl28H40O18W12,3.1935,6.7903962898254395,3.5968962898254397
3726,Ag3C6Fe1N6,0.0,3.5953148436546325,3.5953148436546325
103398,C3Ce1O13P1Sr3,0.0,3.5587837356328964,3.5587837356328964
184382,H4In4O8,1.7007,5.22674643933773,3.5260464393377298
184383,H4In4O8,1.7097,5.226745891571045,3.517045891571045
95495,Ca1F2,7.1361,3.62652001619339,3.50957998380661
115314,C3Li3Na3O9,0.0,3.48476950109005,3.48476950109005
235006,P8,3.4907,0.0087812477350235,3.4819187522649764
184673,H12Mg1N6O6,4.4918,1.052874944806099,3.4389250551939003
113780,Cl4F12,2.5712,5.996790820360184,3.425590820360184
