Column0,Compound,myY,Fit,AbsResidual
113655,Cl1Cu2Sr1,3.3791,4.127849052810671,0.7487490528106706
138686,Cu1Ir2Ni1,8.5243,8.487786028766633,0.03651397123336686
22196,Al1La1Mg2,6.2943,6.515667426967623,0.2213674269676229
203979,La1Te1,8.8909,8.620861179780961,0.2700388202190389
242881,Re2Si1Sr1,6.6524,7.044009273672106,0.3916092736721062
41583,Au1Co2Pt1,5.8193,5.970480190467836,0.15118019046783626
214569,Mn2Pb1Sb1,7.4534,7.728031320381167,0.27463132038116633
100904,Ca4O12Ti4,2.9035,3.1530206840038315,0.24952068400383132
140216,Cu1Mg2Sb1,6.1319,6.366491043806078,0.23459104380607787
106242,Cd1Hg2Mg1,3.0651,3.384572697114946,0.31947269711494597
27460,Al1Ru1Sc1,4.6182,4.893476354885103,0.2752763548851034
23821,Al1Mo1Pb2,7.7385,7.843188203907015,0.10468820390701516
195435,K1Mo1Tc2,6.0799,6.460383975458147,0.38048397545814705
48262,Ba2Ca1O6Re1,4.2004,3.87062662587166,0.3297733741283402
96409,Ca1Ge1In1,4.0345,4.9442646101951615,0.9097646101951611
228797,Ni1Sc1Zn2,4.3406,4.976703026914598,0.636103026914598
242706,Re1Sc2Te1,7.557,7.629850911331179,0.07285091133117838
5750,Ag1Ga1Ti2,5.9035,6.092134840774538,0.18863484077453752
163139,Ga2P1Si1,8.222000000000001,8.3023375061512,0.08033750615119928
94101,Ca1Cd1Sn2,3.9814,4.444218904304506,0.46281890430450634
136587,Cu2Ga1Ti1,7.6886,7.8990685948848745,0.21046859488487435
69196,Be6Mn8O24S2Si6,1.9039,1.987472171735765,0.08357217173576514
83631,B2Mg1Se1,6.5447,6.829026364183428,0.2843263641834284
192080,Ir1Mo1O3,5.9918,5.857172609281542,0.13462739071845764
188651,In1Pb1Sb2,7.5356,7.577094369125368,0.041494369125368635
38200,As2Re1Rh1,7.672000000000001,7.88539747104645,0.21339747104644946
75441,Bi2Cl1Fe1,6.7909,7.1317674422740955,0.3408674422740958
106580,Cd1In1Mn1,4.2410000000000005,4.432871004343035,0.19187100434303428
206009,Li1Os1Se1,5.0225,5.430106786775591,0.4076067867755908
248530,Sr2,1.6874,2.1561237050533313,0.4687237050533313
82682,B1K1Pt1,2.9996,2.8459538114547747,0.15364618854522538
138348,Cu2In2S4,4.6874,4.406206363630297,0.2811936363697036
239448,P1Re2Sn1,8.7069,8.39789420490265,0.3090057950973488
41804,Au1Cr2Sn1,5.9835,6.40182945699692,0.41832945699691937
164220,Ga2Sc1Se1,6.4485,6.771419688796999,0.3229196887969987
133962,Cr1Sb1Y1,5.7936,5.901755517482759,0.10815551748275976
76882,Bi2Fe2O6,5.2139,5.630373928356173,0.41647392835617314
48900,Ba2Ce2N4,5.1373,5.506795358276369,0.36949535827636915
139222,Cu1K1Tc1,1.9725,2.2349842488765734,0.2624842488765735
169268,Ge1Mn1Ti1,6.0552,6.464209631443025,0.40900963144302516
170753,Ge6O18Rb2Ta2,0.3248,0.350734733486177,0.02593473348617703
26809,Al2Pt1Ru1,9.6343,9.172846669483187,0.4614533305168127
24618,Al1Nb1W1,7.5247,7.473432603740694,0.05126739625930643
246089,Sc1Te1V1,5.6247,5.886686829280855,0.2619868292808549
86829,Br4C4Cl4F4H12,-1.7569,-1.7731960618972766,0.016296061897276726
34482,As1Hg1In1,4.0123,4.669599853992464,0.6572998539924644
93420,B1Ta2Tc1,7.0445,7.213663100624086,0.16916310062408613
117801,Cl1Pt2Se1,6.8997,6.853690451002123,0.046009548997877125
205242,Li1Nb2Os1,8.9763,8.827573654270175,0.14872634572982513
157201,F3Sc1Si1,5.0236,4.576979452085497,0.44662054791450334
64831,Be2Co1Li1,3.5137,3.943078137159349,0.429378137159349
93963,Ca1Cd1Ni2,4.3278,4.67062231450081,0.34282231450081024
142322,Cu1Os1V1,5.8805,6.057915689086916,0.1774156890869163
89313,Br2Hf1Hg1,5.2127,5.200089472770693,0.01261052722930689
222813,Na2Sr1Tc1,2.355,2.418793204641344,0.06379320464134386
148594,Fe2Hf1Zr1,4.9664,5.4423420291900655,0.47594202919006534
27557,Al1Ru1V1,5.7509,6.04254248108864,0.29164248108864044
157725,Ga1Ge1Te2,7.3478,7.441032504081728,0.0932325040817279
36001,As1Li1Sb1,3.9819,4.213971687936785,0.2320716879367848
6306,Ag1Hf1Pd1,3.8448,4.016269772720339,0.17146977272033848
20081,Al1Ge1Rh1,6.9741,7.329515741300585,0.3554157413005852
21885,Al2K12Na6Sb8,1.8551,1.9434418358802812,0.08834183588028122
151537,Fe1Ni1Re2,7.1876,7.59791061639786,0.4103106163978598
41496,Au1Co1Cu1,4.2048,4.547283730220797,0.34248373022079726
226885,Ni3O6Te1,5.0479,5.21762658634186,0.16972658634185933
111965,C2Fe2O6,4.4356,3.3589164000988023,1.0766835999011977
245481,Sb20Yb22,3.8376,3.5020487711429613,0.3355512288570388
175178,Hf1K2Mo1,2.8921,3.5823351129531877,0.6902351129531876
35149,As1Ir2Pb1,9.0056,8.9987238632679,0.006876136732099525
94423,Ca2Cl1Te1,6.3962,5.9421074155330675,0.4540925844669328
73683,B1Ge2P1,8.2868,8.390995117330553,0.10419511733055309
158240,Ga1Hg1Mo2,7.3195,7.566464409875872,0.2469644098758721
182927,Hg1Pd1Sn1,3.8021,4.328739350795748,0.5266393507957479
42891,Au1Ga2Y1,6.1428,6.36577108640671,0.2229710864067096
68275,Be1K1Nb1,3.3022,3.728224295663835,0.42602429566383515
136395,Cu1Ga1Pb1,6.1416,6.461858173942568,0.32025817394256784
32691,As2Cu1P6,7.1079,7.141606860065462,0.033706860065461974
118992,Co2Cr4S8,4.853,4.876106626367571,0.023106626367571437
223909,Nb2Os1Zn1,9.3903,9.27034140481949,0.11995859518050977
10824,Ag1Sn1Tc1,4.8848,4.806464360618593,0.07833563938140742
216880,Mn1Tc1V2,7.2265,7.27533340110779,0.048833401107790664
208533,Li2Y1Zn1,1.5287,1.824417954277994,0.29571795427799397
80211,Bi1Nb1Te1,8.135,8.183250098896028,0.048250098896028604
2720,Ag1Br2Cr1,3.0210000000000004,3.7234568466663376,0.7024568466663372
92141,Br1Re2Sb1,9.1965,9.169357800292971,0.027142199707029135
186893,In1Li1Tc1,4.1923,4.5485986104011555,0.3562986104011552
113245,Cl10Cs2Sn4,0.1129,0.003351254916192531,0.10954874508380746
182221,Hg1Nb1Zn2,5.8276,6.1243957890033744,0.2967957890033741
42085,Au1Cu1Sc1,3.9201,4.26518143091202,0.3450814309120198
240973,Pt1Re1Sb1,7.4114,7.859426570796969,0.4480265707969684
59988,B1Br1Cl2,2.2466,2.6047862328529376,0.3581862328529377
36274,As1Mg1Ti1,4.8693,5.182066337537767,0.3127663375377674
229769,Ni2Te1Zr1,8.9341,8.79903954434395,0.13506045565605085
21361,Al2In1Sc1,7.1752,7.273108994913104,0.09790899491310334
67690,Be1In1Nb1,7.1971,7.2444256501197835,0.047325650119783624
50722,Ba1Cu2W1,4.1155,4.6825570704937,0.5670570704936999
19756,Al1Ga1V1,6.246,6.283421673393251,0.03742167339325064
129258,Cr1Ge1Sn2,5.974,6.223241704893114,0.24924170489311415
147818,Fe4Ge2,7.8991,7.998146429824831,0.09904642982483125
38541,As2Ru1Tc1,8.4539,8.431556750869753,0.02234324913024821
86746,Br1Ca1Rh2,5.2476,5.4218968523979205,0.17429685239792025
184921,H12Ni1O9S1,-0.4872,-0.6848352512598024,0.19763525125980236
38545,As1Ru1Te2,8.9328,8.893876285696031,0.03892371430396935
182774,Hg1Pb1Te1,4.6281,4.887892147493364,0.2597921474933642
24616,Al2Nb1V1,8.7733,9.096692520141604,0.3233925201416028
202965,La1Rh1V1,6.0917,6.257462873268129,0.16576287326812889
83486,B1Mg1Ni1,5.8257,6.262851461982729,0.4371514619827286
240157,P1Ru1Zr1,5.7511,6.361822412490847,0.6107224124908468
61029,B1Ca1W1,4.1086,3.9604801326751726,0.1481198673248274
17611,Al4Cu2,7.7461,7.4636577199459095,0.28244228005409067
161468,Ga1Nb1Os1,7.3612,7.787830134963992,0.4266301349639914
42726,Au2Ga1Pd1,6.0934,6.362941673994066,0.26954167399406614
