,Compound
0,Ac1
1,Ac1
2,Ac1
3,Ac1
4,Ac1
5,Ac2
6,Ac2
7,Ac2
8,Ac2
9,Ac2
10,Ac2
11,Ac2O3
12,Ag1
13,Ag1
14,Ag1
15,Ag1
16,Ag1
17,Ag1
18,Ag1
19,Ag1
20,Ag1
21,Ag1
22,Ag1
23,Ag1
24,Ag1
25,Ag2
26,Ag2
27,Ag2
28,Ag2
29,Ag2
30,Ag2
31,Ag2
32,Ag2
33,Ag3
34,Ag4
35,Ag4
36,Ag1Al1As1
37,Ag1Al1As1
38,Ag1Al1As1
39,Ag1Al1As1
40,Ag1Al1As1
41,Ag1Al1As1
42,Ag1Al1As2
43,Ag1Al1As2
44,Ag1Al1As2
45,Ag1Al1As2
46,Ag1Al2As1
47,Ag1Al2As1
48,Ag1Al2As1
49,Ag1Al2As1
50,Ag2Al1As1
51,Ag2Al1As1
52,Ag2Al1As1
53,Ag2Al1As1
54,Ag1Al1Au1
55,Ag1Al1Au1
56,Ag1Al1Au1
57,Ag1Al1Au2
58,Ag1Al1Au2
59,Ag1Al2Au1
60,Ag1Al2Au1
61,Ag2Al1Au1
62,Ag2Al1Au1
63,Ag1Al1B1
64,Ag1Al1B1
65,Ag1Al1B1
66,Ag1Al1B2
67,Ag1Al1B2
68,Ag1Al2B1
69,Ag1Al2B1
70,Ag2Al1B1
71,Ag2Al1B1
72,Ag1Al1Bi1
73,Ag1Al1Bi1
74,Ag1Al1Bi1
75,Ag1Al1Bi2
76,Ag1Al1Bi2
77,Ag1Al2Bi1
78,Ag1Al2Bi1
79,Ag2Al1Bi1
80,Ag2Al1Bi1
81,Ag1Al1Br1
82,Ag1Al1Br1
83,Ag1Al1Br1
84,Ag1Al1Br2
85,Ag1Al1Br2
86,Ag1Al2Br1
87,Ag1Al2Br1
88,Ag2Al1Br1
89,Ag2Al1Br1
90,Ag1Al1Ca1
91,Ag1Al1Ca1
92,Ag1Al1Ca1
93,Ag1Al1Ca2
94,Ag1Al1Ca2
95,Ag1Al2Ca1
96,Ag1Al2Ca1
97,Ag2Al1Ca1
98,Ag2Al1Ca1
99,Ag2Al7Ca3
100,Ag2Al7Ca3
101,Ag1Al1Cd1
102,Ag1Al1Cd1
103,Ag1Al1Cd1
104,Ag1Al1Cd2
105,Ag1Al1Cd2
106,Ag1Al2Cd1
107,Ag1Al2Cd1
108,Ag2Al1Cd1
109,Ag2Al1Cd1
110,Ag1Al1Cl1
111,Ag1Al1Cl1
112,Ag1Al1Cl1
113,Ag1Al1Cl2
114,Ag1Al1Cl2
115,Ag1Al2Cl1
116,Ag1Al2Cl1
117,Ag2Al1Cl1
118,Ag2Al1Cl1
119,Ag1Al1Co1
120,Ag1Al1Co1
121,Ag1Al1Co1
122,Ag1Al1Co2
123,Ag1Al1Co2
124,Ag1Al2Co1
125,Ag1Al2Co1
126,Ag2Al1Co1
127,Ag2Al1Co1
128,Ag4Al4Co24
129,Ag1Al1Cr1
130,Ag1Al1Cr1
131,Ag1Al1Cr1
132,Ag1Al1Cr2
133,Ag1Al1Cr2
134,Ag1Al2Cr1
135,Ag1Al2Cr1
136,Ag2Al1Cr1
137,Ag2Al1Cr1
138,Ag1Al1Cu1
139,Ag1Al1Cu1
140,Ag1Al1Cu1
141,Ag1Al1Cu2
142,Ag1Al1Cu2
143,Ag1Al2Cu1
144,Ag1Al2Cu1
145,Ag2Al1Cu1
146,Ag2Al1Cu1
147,Ag1Al1F3
148,Ag1Al1F3
149,Ag1Al1Fe1
150,Ag1Al1Fe1
151,Ag1Al1Fe1
152,Ag1Al1Fe2
153,Ag1Al1Fe2
154,Ag1Al2Fe1
155,Ag1Al2Fe1
156,Ag2Al1Fe1
157,Ag2Al1Fe1
158,Ag4Al4Fe24
159,Ag1Al1Ga1
160,Ag1Al1Ga1
161,Ag1Al1Ga1
162,Ag1Al1Ga2
163,Ag1Al1Ga2
164,Ag1Al2Ga1
165,Ag1Al2Ga1
166,Ag2Al1Ga1
167,Ag2Al1Ga1
168,Ag1Al1Ge1
169,Ag1Al1Ge1
170,Ag1Al1Ge1
171,Ag1Al1Ge2
172,Ag1Al1Ge2
173,Ag1Al2Ge1
174,Ag1Al2Ge1
175,Ag2Al1Ge1
176,Ag2Al1Ge1
177,Ag1Al1Hf1
178,Ag1Al1Hf1
179,Ag1Al1Hf1
180,Ag1Al1Hf2
181,Ag1Al1Hf2
182,Ag1Al2Hf1
183,Ag1Al2Hf1
184,Ag2Al1Hf1
185,Ag2Al1Hf1
186,Ag1Al1Hg1
187,Ag1Al1Hg1
188,Ag1Al1Hg1
189,Ag1Al1Hg2
190,Ag1Al1Hg2
191,Ag1Al2Hg1
192,Ag1Al2Hg1
193,Ag2Al1Hg1
194,Ag2Al1Hg1
195,Ag1Al1In1
196,Ag1Al1In1
197,Ag1Al1In1
198,Ag1Al1In2
199,Ag1Al1In2
200,Ag1Al2In1
201,Ag1Al2In1
202,Ag2Al1In1
203,Ag2Al1In1
204,Ag1Al1Ir1
205,Ag1Al1Ir1
206,Ag1Al1Ir1
207,Ag1Al1Ir2
208,Ag1Al1Ir2
209,Ag1Al2Ir1
210,Ag1Al2Ir1
211,Ag2Al1Ir1
212,Ag2Al1Ir1
213,Ag1Al1K1
214,Ag1Al1K1
215,Ag1Al1K1
216,Ag1Al1K2
217,Ag1Al1K2
218,Ag1Al2K1
219,Ag1Al2K1
220,Ag2Al1K1
221,Ag2Al1K1
222,Ag1Al1La1
223,Ag1Al1La1
224,Ag1Al1La1
225,Ag1Al1La2
226,Ag1Al1La2
227,Ag1Al2La1
228,Ag1Al2La1
229,Ag2Al1La1
230,Ag2Al1La1
231,Ag3Al2La1
232,Ag1Al1Li1
233,Ag1Al1Li1
234,Ag1Al1Li1
235,Ag1Al1Li2
236,Ag1Al1Li2
237,Ag1Al1Li2
238,Ag1Al1Li2
239,Ag1Al2Li1
240,Ag1Al2Li1
241,Ag2Al1Li1
242,Ag2Al1Li1
243,Ag2Al1Li1
244,Ag2Al1Li1
245,Ag13Al36Mg32
246,Ag1Al1Mg1
247,Ag1Al1Mg1
248,Ag1Al1Mg1
249,Ag1Al1Mg2
250,Ag1Al1Mg2
251,Ag1Al2Mg1
252,Ag1Al2Mg1
253,Ag2Al1Mg1
254,Ag2Al1Mg1
255,Ag1Al1Mn1
256,Ag1Al1Mn1
257,Ag1Al1Mn1
258,Ag1Al1Mn2
259,Ag1Al1Mn2
260,Ag1Al2Mn1
261,Ag1Al2Mn1
262,Ag2Al1Mn1
263,Ag2Al1Mn1
264,Ag1Al1Mo1
265,Ag1Al1Mo1
266,Ag1Al1Mo1
267,Ag1Al1Mo2
268,Ag1Al1Mo2
269,Ag1Al2Mo1
270,Ag1Al2Mo1
271,Ag2Al1Mo1
272,Ag2Al1Mo1
273,Ag1Al1Na1
274,Ag1Al1Na1
275,Ag1Al1Na1
276,Ag1Al1Na2
277,Ag1Al1Na2
278,Ag1Al2Na1
279,Ag1Al2Na1
280,Ag2Al1Na1
281,Ag2Al1Na1
282,Ag1Al1Nb1
283,Ag1Al1Nb1
284,Ag1Al1Nb1
285,Ag1Al1Nb2
286,Ag1Al1Nb2
287,Ag1Al2Nb1
288,Ag1Al2Nb1
289,Ag2Al1Nb1
290,Ag2Al1Nb1
291,Ag1Al1Ni1
292,Ag1Al1Ni1
293,Ag1Al1Ni1
294,Ag1Al1Ni2
295,Ag1Al1Ni2
296,Ag1Al2Ni1
297,Ag1Al2Ni1
298,Ag2Al1Ni1
299,Ag2Al1Ni1
300,Ag4Al4Ni24
301,Ag1Al1O3
302,Ag1Al1O3
303,Ag2Al2O4
304,Ag2Al2O4
305,Ag4Al4O8
306,Ag4Al4O8
307,Ag1Al1Os1
308,Ag1Al1Os1
309,Ag1Al1Os1
310,Ag1Al1Os2
311,Ag1Al1Os2
312,Ag1Al2Os1
313,Ag1Al2Os1
314,Ag2Al1Os1
315,Ag2Al1Os1
316,Ag1Al1P1
317,Ag1Al1P1
318,Ag1Al1P1
319,Ag1Al1P2
320,Ag1Al1P2
321,Ag1Al1P2
322,Ag1Al2P1
323,Ag1Al2P1
324,Ag2Al1P1
325,Ag2Al1P1
326,Ag2Al2P4
327,Ag3Al6P3
328,Ag4Al4P8
329,Ag1Al1Pb1
330,Ag1Al1Pb1
331,Ag1Al1Pb1
332,Ag1Al1Pb2
333,Ag1Al1Pb2
334,Ag1Al2Pb1
335,Ag1Al2Pb1
336,Ag2Al1Pb1
337,Ag2Al1Pb1
338,Ag1Al1Pd1
339,Ag1Al1Pd1
340,Ag1Al1Pd1
341,Ag1Al1Pd2
342,Ag1Al1Pd2
343,Ag1Al2Pd1
344,Ag1Al2Pd1
345,Ag2Al1Pd1
346,Ag2Al1Pd1
347,Ag3Al6Pr3
348,Ag1Al1Pt1
349,Ag1Al1Pt1
350,Ag1Al1Pt1
351,Ag1Al1Pt2
352,Ag1Al1Pt2
353,Ag1Al2Pt1
354,Ag1Al2Pt1
355,Ag2Al1Pt1
356,Ag2Al1Pt1
357,Ag1Al1Re1
358,Ag1Al1Re1
359,Ag1Al1Re1
360,Ag1Al1Re2
361,Ag1Al1Re2
362,Ag1Al2Re1
363,Ag1Al2Re1
364,Ag2Al1Re1
365,Ag2Al1Re1
366,Ag1Al1Rh1
367,Ag1Al1Rh1
368,Ag1Al1Rh1
369,Ag1Al1Rh2
370,Ag1Al1Rh2
371,Ag1Al2Rh1
372,Ag1Al2Rh1
373,Ag2Al1Rh1
374,Ag2Al1Rh1
375,Ag1Al1Ru1
376,Ag1Al1Ru1
377,Ag1Al1Ru1
378,Ag1Al1Ru2
379,Ag1Al1Ru2
380,Ag1Al2Ru1
381,Ag1Al2Ru1
382,Ag2Al1Ru1
383,Ag2Al1Ru1
384,Ag1Al1S2
385,Ag2Al2S4
386,Ag2Al2S4
387,Ag2Al2S4
388,Ag2Al2S4
389,Ag1Al1Sb1
390,Ag1Al1Sb1
391,Ag1Al1Sb1
392,Ag1Al1Sb2
393,Ag1Al1Sb2
394,Ag1Al2Sb1
395,Ag1Al2Sb1
396,Ag2Al1Sb1
397,Ag2Al1Sb1
398,Ag1Al1Sc1
399,Ag1Al1Sc1
400,Ag1Al1Sc1
401,Ag1Al1Sc2
402,Ag1Al1Sc2
403,Ag1Al2Sc1
404,Ag1Al2Sc1
405,Ag2Al1Sc1
406,Ag2Al1Sc1
407,Ag2Al1Sc1
408,Ag1Al1Se1
409,Ag1Al1Se1
410,Ag1Al1Se1
411,Ag1Al1Se1
412,Ag1Al1Se2
413,Ag1Al1Se2
414,Ag1Al2Se1
415,Ag1Al2Se1
416,Ag2Al1Se1
417,Ag2Al1Se1
