,Compound,GT_HalfMetal,GT_InsulatorDirect,GT_InsulatorDirectSpinPolarised,GT_InsulatorIndirect,GT_InsulatorIndirectSpinPolarised,GT_Metal,Fit
49820,Ba2Cr1Fe1,0,0,0,0,0,1,5
102608,Ca1Si2Sr1,0,0,0,0,0,1,5
104619,Cd1Cu1Mo1,0,0,0,0,0,1,5
186505,In1La3N1,0,0,0,0,0,1,5
89518,Br1Hf1V1,0,0,0,0,0,1,5
94320,Ca1Cl1Ni2,0,0,0,0,0,1,5
118981,Co1Cr1Rh2,0,0,0,0,0,1,5
74932,Bi1Br1V2,0,0,0,0,0,1,5
76352,Bi1Cu1Nb2,0,0,0,0,0,1,5
143285,Cu1Pt1Sc1,0,0,0,0,0,1,5
154226,Fe8Sc4Si2,0,0,0,0,0,1,5
232715,Os1Pb1Te1,0,0,0,0,0,1,5
46227,Au1Se1Ta1,0,0,0,0,0,1,5
146693,Er2O8V2,0,1,0,0,0,0,1
170921,Ge26Os8Tb6,0,0,0,0,0,1,5
136813,Cu4Ge2Mg2S8,0,1,0,0,0,0,1
243940,Rh2Sn1W1,0,0,0,0,0,1,5
61156,B1Cd1Ni1,0,0,0,0,0,1,5
169064,Ge4Mn4P4,0,0,0,0,1,0,3
154844,Fe2Si1Zr1,0,0,0,1,0,0,5
146164,Dy4Si4,0,0,0,0,0,1,5
47487,Ba1Bi1Sc1,0,0,0,0,0,1,5
93592,B2W1Zn1,0,0,0,0,0,1,5
30933,As1Ca1Cd1,0,0,0,0,0,1,5
220286,Na2Ni1Sr1,0,0,0,0,0,1,5
162292,Ga1Os1Pt2,0,0,0,0,0,1,5
28891,Al1Y2Zr1,0,0,0,0,0,1,5
19397,Al2F32Rb4Tb6,1,0,0,0,0,0,0
169353,Ge6Mo10,0,0,0,0,0,1,5
171372,Ge1Pd1Tc2,0,0,0,0,0,1,5
112738,C4K4N4S4,0,0,0,1,0,0,3
100221,Ca1Ni1Ru2,0,0,0,0,0,1,5
20345,Al2Hf1La1,0,0,0,0,0,1,5
178049,Hf1Pd1Sb1,0,0,0,0,0,1,5
162238,Ga1O6Sb1Sr2,0,0,0,1,0,0,3
52852,Ba1Hg1Te2,0,0,0,0,0,1,5
28706,Al1Ti1Y2,0,0,0,0,0,1,5
173352,Ge1Sn2Tc1,0,0,0,0,0,1,5
